id|nome|contrato_id|posto_id
f1d4a2db-0f21-49a6-a584-b7405b9bd45f|(nenhuma função cadastrada)|759250e0-c31f-4df6-9662-662f35f9c768|351db1b4-e934-49a7-a4f6-612be5d4fbf2
247513d4-b676-450d-9dea-15877b24ec75|AGENTE DE PORTARIA|24376d6a-5245-4d9e-bb81-c76f63457f19|53198113-9588-4f6c-b032-036f41648d22
48310979-5aee-4f3b-b134-a5ac54eac5e2|AJUDANTE DE CARGA E DESCARGA|9559295c-61cb-4646-b8cb-6686b33be934|0a666bf3-1e70-4edc-b5bb-3c06825c46fb
95f72f7f-7c12-491d-984a-50eeb34529c8|AJUDANTE DE CARGA E DESCARGA|9559295c-61cb-4646-b8cb-6686b33be934|269ce876-496e-48af-b944-84873d15a801
60c64c1b-8778-4da2-8690-2352564a6806|AJUDANTE DE CARGA E DESCARGA|9559295c-61cb-4646-b8cb-6686b33be934|f6ed632a-41c3-45d8-9a7b-9008f34ebc42
bba9e087-04d6-4535-829b-d0a237604741|AJUDANTE DE CARGA E DESCARGA|9559295c-61cb-4646-b8cb-6686b33be934|7dd4c7fb-8ffc-4afb-aa48-6a2e38ded0f0
36dc11ee-e454-47e0-b250-ed7a3c4a364b|ALMOXARIFE|0f5854dc-8e4c-4e66-9f42-bb9bb42a3c0e|31da977b-0c50-46b4-90eb-55e3071d366b
04e26894-8e93-416d-bdf5-f8249fd56833|ASG|ce135d03-700c-45f3-a401-11913d9aa8ae|a5a2bbf6-9021-43e6-b45b-68efe125a9d1
a041cdee-ec75-4929-92f8-199dd42227a5|ASG|530e91a8-0f66-4c73-a641-9fb5d23a9fa4|8a7d29e7-44eb-4194-9101-3e08b506998a
4b2ef088-1b56-442c-9683-bccfa6d73178|ASG|df731573-bad3-4a6b-9e96-06de32e28768|12b7b5ec-734a-4bbe-9912-1edcb3c8712a
67d15721-f5bf-4347-a9dc-17f9703b6cc4|ASG|df731573-bad3-4a6b-9e96-06de32e28768|e8433666-f0f4-4782-aff1-faf3035ceb7e
fdbf1b47-6ce2-491c-a385-0b8d05643abe|ASG|ce135d03-700c-45f3-a401-11913d9aa8ae|dff44277-d4f3-4507-b089-7aaeb9e08bde
0254aedb-8941-4921-b9ea-775477c626e0|ASG|df731573-bad3-4a6b-9e96-06de32e28768|3b7a3f06-82c3-49ab-a260-e627e4df38f9
da8a143f-d55e-4b51-9fdc-d7ea68b22d0a|ASG|df731573-bad3-4a6b-9e96-06de32e28768|908fe04f-47b2-4ba4-932c-f9886a549188
6f995866-fd17-47a0-8e29-fbdfcfba96ac|ASG|ce135d03-700c-45f3-a401-11913d9aa8ae|1261cbba-d7f6-41e6-af77-f8b507aba2cc
b3d7d5a2-947b-4a17-a1d8-cf965cc611b6|ASG|ce135d03-700c-45f3-a401-11913d9aa8ae|e938cc96-a633-4f9c-a47b-0d0949619ab5
e84c2796-1324-4dcc-bbf3-42c6b9502029|ASG|df731573-bad3-4a6b-9e96-06de32e28768|67ddf382-7f78-4f4e-b4fb-43f293e269a0
5fe749ec-edec-4b80-8c50-35a3f3a4e353|ASG|df731573-bad3-4a6b-9e96-06de32e28768|cd6e624d-bbd7-452d-b7b4-005d54895190
fc22ae98-6c52-4327-b202-795f42f719d8|ASG|df731573-bad3-4a6b-9e96-06de32e28768|5281a3bd-91fd-4c57-8d85-17efab570c4b
