id|nome|contrato_id
1c0a4ef3-5959-48c7-a51d-7e4115ce5d59|ALÔ CAXIAS|0c80ed99-cb97-4cb3-8f69-2c2a00e1a2cd
5d693dc4-26c4-4923-9f26-26461de50216|ASSISTENCIA SOCIAL|df731573-bad3-4a6b-9e96-06de32e28768
59a17b03-8cc4-4826-8463-2c3ab34e72b4|AUXILIAR DE SAUDE BUCAL|4a81da4b-42a5-4507-89d9-a5dae8cc88ef
67ddf382-7f78-4f4e-b4fb-43f293e269a0|BIBLIOTECA|df731573-bad3-4a6b-9e96-06de32e28768
acb95821-7280-45f6-8f2c-49faef006949|BIBLIOTECA PÚBLICA MUNICIPAL MANSUETO BERNARDI E SALA DE PEQUENOS EVENTOS|27e23133-db59-4386-a015-33a7310768fb
b1239c93-8083-452d-a54e-7732708b751c|BLOCO CIRURGICO|e30b03a4-9ecc-4cd1-8e71-8e68c93ab202
53198113-9588-4f6c-b032-036f41648d22|CAMARA DE VEREADORES DE RIO GRANDE|24376d6a-5245-4d9e-bb81-c76f63457f19
cd786ca3-cd2f-42df-8120-e4a89f4baf5e|CAMARA DE VEREADORES DE RIO GRANDE|bd2c57d7-cacc-492c-b547-4e3258a4131b
c9f473c5-2990-4a07-b833-13a89a56e1e0|CÂMARA MUNICIPAL DE VEREADORES|27e23133-db59-4386-a015-33a7310768fb
3b8eb1c1-fc43-4562-86b8-5e144a3feab7|CAMBOATA|773af58b-44f1-4cf7-bac7-901cc3b1694c
cdfa2fa5-6c45-47d0-960d-e317606308cc|CAMPUS AGRONOMIA|530e91a8-0f66-4c73-a641-9fb5d23a9fa4
f07ed53b-281b-4883-ad76-826898212a25|CAMPUS AGRONOMIA|275765b5-3784-479e-88ef-59e57413bbe6
cdebeab8-3951-4128-8dab-c8a201b0d192|CAMPUS CENTRO|530e91a8-0f66-4c73-a641-9fb5d23a9fa4
0a666bf3-1e70-4edc-b5bb-3c06825c46fb|CAMPUS CENTRO|9559295c-61cb-4646-b8cb-6686b33be934
21368e16-9b6c-46b0-b7b0-ea52e0c9bfb3|CAMPUS CENTRO|204ec86a-9d2b-4ed0-a472-161c4e946227
a051028d-492b-45bd-bc69-f6a26b9bff47|CAMPUS CENTRO 1|275765b5-3784-479e-88ef-59e57413bbe6
aa31b478-66d7-4159-8ebe-68f2212c28a5|CAMPUS CENTRO 2|275765b5-3784-479e-88ef-59e57413bbe6
540c2b01-0c73-4447-ae6f-96fec0381fe9|CAMPUS DITRAN|7eefd61f-886d-4bca-802a-d08077111456
1562e178-7542-40da-8534-ead7bb8f2f28|CAMPUS ELDORADO|7eefd61f-886d-4bca-802a-d08077111456
ebbbbc72-a9af-4142-aec0-edc639bb4325|CAMPUS ELDORADO|530e91a8-0f66-4c73-a641-9fb5d23a9fa4
72d6c2cf-9183-433c-9a65-7b74fa9f1eb1|CAMPUS ELDORADO|275765b5-3784-479e-88ef-59e57413bbe6
cf65a48b-3df6-45b1-b799-41489d3a54fb|CAMPUS ELDORADO|204ec86a-9d2b-4ed0-a472-161c4e946227
72bd493f-6d1b-4fd9-b529-04bbb9f210d0|CAMPUS ESEFID|275765b5-3784-479e-88ef-59e57413bbe6
46ec9d48-4697-475b-9c15-b87df7de731b|CAMPUS ESEFID|530e91a8-0f66-4c73-a641-9fb5d23a9fa4
965e12a5-fabf-4244-9826-51cbf75a8c26|CAMPUS FROTA|7eefd61f-886d-4bca-802a-d08077111456
d140397d-4c1e-4b7a-873f-b417b735f751|CAMPUS HCVET|22c23dff-d58e-41c0-86ab-3a7e71999cbb
8a7d29e7-44eb-4194-9101-3e08b506998a|CAMPUS LITORAL|530e91a8-0f66-4c73-a641-9fb5d23a9fa4
f6ed632a-41c3-45d8-9a7b-9008f34ebc42|CAMPUS LITORAL|9559295c-61cb-4646-b8cb-6686b33be934
9f633ed5-7796-4794-bed1-49e215bae53b|CAMPUS LITORAL|7eefd61f-886d-4bca-802a-d08077111456
c9ff3164-d193-4bad-aa85-5ff24acae73d|CAMPUS LITORAL|275765b5-3784-479e-88ef-59e57413bbe6
52d8a9ed-1f5b-4b8e-ac66-77f607345345|CAMPUS LITORAL|204ec86a-9d2b-4ed0-a472-161c4e946227
43727452-9c92-45fe-9baf-42ea866c8900|CAMPUS SAUDE|275765b5-3784-479e-88ef-59e57413bbe6
269ce876-496e-48af-b944-84873d15a801|CAMPUS SAUDE|9559295c-61cb-4646-b8cb-6686b33be934
25a49845-3b3c-4dee-9212-008fbf23231d|CAMPUS SAUDE|530e91a8-0f66-4c73-a641-9fb5d23a9fa4
8eef63b9-eb31-42f0-8159-789d2360ee42|CAMPUS SETOR 4|275765b5-3784-479e-88ef-59e57413bbe6
556eb625-778b-4b6e-8905-a6ce05bed8f9|CAMPUS SUINFRA|7eefd61f-886d-4bca-802a-d08077111456
c9b96c08-558e-4623-9145-76d87c74fc33|CAMPUS VALE|530e91a8-0f66-4c73-a641-9fb5d23a9fa4
3767af90-a64d-4ec8-9df0-2933f2dddd26|CAMPUS VALE|204ec86a-9d2b-4ed0-a472-161c4e946227
7dd4c7fb-8ffc-4afb-aa48-6a2e38ded0f0|CAMPUS VALE|9559295c-61cb-4646-b8cb-6686b33be934
1601caf8-0db8-41b9-b296-050b583f822d|CAMPUS VALE/IPH|275765b5-3784-479e-88ef-59e57413bbe6
25ce7411-29ca-465e-83d2-1c32077e39c9|CAMPUS VALE/PREFEITURA|275765b5-3784-479e-88ef-59e57413bbe6
c3426ce9-77ae-43a8-8f32-a48af960ed5e|CAMPUS VALE/VETERINARIA|275765b5-3784-479e-88ef-59e57413bbe6
45de6208-6193-4fc6-831c-e696af25935f|CANCELAS|0c80ed99-cb97-4cb3-8f69-2c2a00e1a2cd
4192cd83-80df-4e9d-9b10-38bfbbc6ae53|CANIL|773af58b-44f1-4cf7-bac7-901cc3b1694c
07f4de15-efd1-413f-ab55-75d7655a954e|CANOINHAS - EMBRAPA|f372953a-9a98-43ef-978d-0d63fb930d4d
3b7a3f06-82c3-49ab-a260-e627e4df38f9|CAPS|df731573-bad3-4a6b-9e96-06de32e28768
d697e5d5-8b9d-4512-b9c4-5b84c1a6e07e|CAPS (CENTRO DE ATENÇÃO PSICOSSOCIAL)|27e23133-db59-4386-a015-33a7310768fb
8e8b4b5b-9199-4dc4-b3fd-cdc2add514d6|CAPS A CENTRO|8500ea60-a5c4-495e-8c26-f009a34e2107
0874857e-e692-4f75-a1ea-bc213a7e09a8|CAPS AD|e30b03a4-9ecc-4cd1-8e71-8e68c93ab202
bba1da78-7005-446c-bad2-faaa3a958642|CAPS AD GCC|8500ea60-a5c4-495e-8c26-f009a34e2107
9b4637a6-03f2-433c-bb30-7a24c404b92a|CAPS I|e30b03a4-9ecc-4cd1-8e71-8e68c93ab202
71cc5ffa-c711-49ea-b7d6-c8fe32051916|CAPS II|e30b03a4-9ecc-4cd1-8e71-8e68c93ab202
9e9be023-d66b-4f55-99b4-d13c6e943159|CAPS LEILA ANTÃO|89df1462-ba23-49c5-bb10-064d1c6d93eb
f2c9d63c-51b8-4e34-8b4d-4bab6ad04b25|CAPSA Flor de Maio|8500ea60-a5c4-495e-8c26-f009a34e2107
0f3010f2-0ca1-42d8-bd09-4bdcc5c56ecc|CAPSi Harmonia|8500ea60-a5c4-495e-8c26-f009a34e2107
cc0efea1-e1d1-44e8-adce-bfa16b557c13|CASA DA CULTURA, SALAS DE OFICINAS, SALÃO NOBRE, PALCO E CAMAROTES|27e23133-db59-4386-a015-33a7310768fb
551f1931-aa04-4382-b5f9-52bb2fbca24e|CASA SARETTA|27e23133-db59-4386-a015-33a7310768fb
69d92af2-2854-432c-b2d9-f542933cbbec|CAT AEROPORTO|0c80ed99-cb97-4cb3-8f69-2c2a00e1a2cd
c526504f-655f-4fc5-a329-952bcb53df8d|CAT PRAÇAS|0c80ed99-cb97-4cb3-8f69-2c2a00e1a2cd
8a24abf6-35fd-4a8a-a5ab-bdda529bb386|CEFIR CENTRO DE FISIOTERAPIA E REABILITAÇÃO|89df1462-ba23-49c5-bb10-064d1c6d93eb
